Bikarmót III 2013/2014;Veteran;C;+95kg;karlar;Jóhannes Erlingsson ; Selfoss;1;7
Bikarmót III 2013/2014;Veteran;BC;80-87kg;karlar;Haukur Skúlason ; Afturelding;1;7
Bikarmót III 2013/2014;Cadet;AB;-33kg;Karlar;Ágúst Kristinn Eðvarðsson ; Keflavík;1;7
Bikarmót III 2013/2014;Cadet;BC;33-37kg;karlar;Daníel Egilsson ; Keflavík;1;7
Bikarmót III 2013/2014;Cadet;AB;41-44kg;Konur;Vigdís Helga Eyjólfsdóttir ; Afturelding;1;7
Bikarmót III 2013/2014;Cadet;B;41-45kg;karlar;Daníel Arnar Ragnarsson ; Keflavík;1;7
Bikarmót III 2013/2014;Cadet;BC;55-59kg;Konur;Kristín María Vilhjálmsdóttir ; Ármann;1;7
Bikarmót III 2013/2014;Junior;B;73-78kg;Karlar;Bjarni Júlíus Jónsson ; Keflavík;1;7
Bikarmót III 2013/2014;Cadet;C;61-65kg;Karlar;Vilhjálmur Páll Thorarensen ; Keflavík;1;7
Bikarmót III 2013/2014;Cadet;C;57-61kg;karlar;Hugo Fronant ; Ármann;1;7
Bikarmót III 2013/2014;Cadet;C;53-57kg;Karlar;Skúli Hólm Hauksson ; Afturelding;1;7
Bikarmót III 2013/2014;Cadet;B;49-53kg;Karlar;Gunnar Snorri Svanþórsson ; Einherjar;1;7
Bikarmót III 2013/2014;Cadet;C;41-45kg;Karlar;Alexander Forberg ; Afturelding;1;7
Bikarmót III 2013/2014;Cadet;AB;57-61kg;Karlar;Svanur Þór Mikaelsson ; Keflavík;1;7
Bikarmót III 2013/2014;Veteran;B;+80kg;Konur;Dýrleif Rúnarsdóttir ; Keflavík;2;3
Bikarmót III 2013/2014;Veteran;C;73-80kg;Konur;Margrét Alda Sigurvinsdóttir ; Keflavík;2;3
Bikarmót III 2013/2014;Junior;AB;63-68kg;Konur;Samar Uz Zaman;Ármann;2;3
Bikarmót III 2013/2014;Veteran;BC;74-80kg;Karlar;Hjálmar Eliesersson ; Ármann;2;3
Bikarmót III 2013/2014;Veteran;B;53-57kg;Konur;María Guðrún Sveinbjörnsdóttir ; Afturelding;2;3
Bikarmót III 2013/2014;Junior;AB;52-55kg;konur;Aníta Víggósdóttir ; Björk;2;3
